"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
303231,999999,"League",2024,709510,42.7,0.246,0.165,0.288,0.411,0.314,0.317,0.248,17383,70662,88.6,13.5,2253,89,89.4,35284,145433,157776,0.4000000000000057,6.5,112,148,117,149,297,323,297,"-156.5","156.5","69.7","7.2",77975,54198,11137,3385,322,2539,17064,21.9,5878,7.5,2.34486,0.56948,0.30121,-0.06978,"91.7",157,39.33170965718292,8.162662828886674,5.673613337608208,5.8,-1.79,0.07,2.3,0.309,4424,"0.051600925",0.312,0.41,"-0.051600925",-0.002,-0.0030000000000000027,0.001,-0.003,24.3,"39.1"
301319,999999,"League",2023,717945,42,0.251,0.174,0.294,0.425,0.32,0.324,0.253,17502,69847,89,12.9,2261,89,89.29,35948,143919,157385,0.29999999999999716,6.48,112,149,117,149,297,324,296,"-76.6","76.6",,,77290,53230,10989,3523,313,2677,17215,22.3,5997,7.8,2.34565,0.57513,0.30798,-0.05827,"91.9",156,40.516625962802934,8.564719143340222,5.898563850433432,5.81,-1.82,0.06,2.27,0.315,4559,"0.025420899",0.318,0.427,"-0.025420899",-0.002,-0.0030000000000000027,-0.002,-0.004,25,"39.8"
294408,999999,"League",2022,708540,41.6,0.246,0.159,0.289,0.405,0.312,0.314,0.246,16997,68983,88.4,12.7,2251,88.9,88.91,34428,141391,152993,0,6.34,111,155,118,149,297,323,297,"-25","25",,,75917,53214,10985,3408,261,2343,16333,21.5,5542,7.3,2.31661,0.61508,0.30923,-0.05955,"91.7",154,38.927725786447176,7.8287668658623675,5.4875719535808845,5.89,-1.79,0.06,2.28,0.308,4166,"0.008486862",0.309,0.402,"-0.008486862",0,-0.0010000000000000009,0.003,-0.002,24.3,"40.3"
273844,999999,"League",2021,709852,38.6,0.245,0.173,0.29,0.418,0.315,0.318,0.246,15545,63429,88.3,11.7,2235,88.9,89.02,33043,130190,143642,0.09999999999999432,6.34,111,154,118,149,298,323,296,"-32.9","32.9",,,70352,47954,9676,3171,289,2409,16179,23,5405,7.7,2.29198,0.63301,0.34914,-0.05978,"91.8",155,39.42736789423197,8.016015348041874,5.463952695019332,5.88,-1.81,0.06,2.26,0.311,3844,"0.011996976",0.313,0.416,"-0.011996976",-0.001,-0.0020000000000000018,0.002,-0.003,25.4,"42.1"
103858,999999,"League",2020,263584,39.4,0.244,0.178,0.288,0.422,0.318,0.325,0.249,5777,23679,88.1,12.3,2259,88.6,88.7,12629,48203,55649,0.10000000000000853,6.31,111,153,118,149,298,323,297,"61","-61",,,26307,17679,3611,1094,104,968,6160,23.4,2168,8.2,2.32785,0.6178,0.37345,-0.07469,"91.8",154,38.07907687086374,7.828497086939307,5.260957159691337,5.87,-1.82,0.06,2.22,0.313,1384,"-0.058739818",0.319,0.425,"0.058739818",-0.005,-0.006000000000000005,-0.003,-0.007,26.2,"40.0"
