pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,woba,xwoba
594965,"Ponce de Leon, Daniel",2020,R,668,138,48,-1.5114386395970256,6.626800329307587,0.093567640529674,4.843697577775119,Starter,8,1,646,143,31.46853146853147,13.986013986013987,31.438127090301005,9.210526315789473,40.78947368421053,0.32344755244755247,0.3382385034965035
665621,"García, Rony",2020,R,368,116,16,-2.5985754760933,5.11549076361711,-0.2207496289622568,4.436400603057431,Reliever,2,13,393,96,14.583333333333334,9.375,20.0,10.95890410958904,42.465753424657535,0.3938854166666667,0.40294061458333336
592662,"Ray, Robbie",2020,L,934,141,44,1.5579259682205169,6.103940550919134,-0.054628540583768,4.547711009099456,Starter,11,1,1064,251,27.091633466135455,17.52988047808765,32.87356321839081,13.138686131386862,45.98540145985402,0.3884501992031873,0.378880508
571670,"Floro, Dylan",2020,R,427,119,37,-2.016330355580746,5.963905644533946,-0.2395351571507887,4.625546117129415,Reliever,0,25,371,97,19.587628865979383,3.0927835051546393,23.25581395348837,2.666666666666667,26.666666666666668,0.2635257731958763,0.2828170104166667
641302,"Alexander, Tyler",2020,L,539,116,35,1.97519988002454,5.706801502673546,0.126036690195854,4.415364600615924,Reliever,2,12,599,153,22.22222222222222,5.88235294117647,21.942446043165468,8.571428571428571,37.142857142857146,0.35854901960784313,0.3342504671052632
571927,"Matz, Steven",2020,L,543,121,35,1.9136549084915293,5.647630840582928,-0.0183508544988395,4.275168736109878,Starter,6,3,633,143,25.174825174825177,6.993006993006993,23.411371237458194,13.541666666666666,48.95833333333333,0.43290209790209794,0.39194364285714284
641816,"Mahle, Tyler",2020,R,783,113,37,-1.9931342262599363,5.601611823300232,-0.2291519137442797,4.28179016071197,Starter,9,1,852,201,29.850746268656714,10.44776119402985,33.67609254498715,6.0344827586206895,39.6551724137931,0.2902686567164179,0.28342190547263685
669211,"Akin, Keegan",2020,L,366,110,42,1.7765509616329234,5.744380968845921,0.1326092457238732,4.287949651164488,Starter,6,2,500,117,29.914529914529915,8.547008547008547,28.455284552845526,8.571428571428571,50.0,0.32211111111111107,0.3220306293103448
502043,"Gibson, Kyle",2020,R,953,140,47,-1.5539794066717274,6.475802030115942,0.081818950924713,4.7241111691847175,Starter,12,0,1139,301,18.93687707641196,9.634551495016613,23.25581395348837,7.246376811594203,39.61352657004831,0.3548006644518272,0.36029825083612044
664350,"Sánchez, Sixto",2020,R,691,146,31,-2.2155463622340337,5.678454580114168,-0.211633423080619,4.474873902056873,Starter,7,0,559,159,20.754716981132077,6.289308176100629,24.832214765100673,5.357142857142857,38.392857142857146,0.2804213836477987,0.26761143949044586
