pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,xwoba
680704,"Sandlin, Nick",2024,R,1003,114,12,-2.4905150360234143,4.490090014645832,-0.4727489445211606,4.068595092085597,Reliever,1,67,1003,245,27.755102040816325,10.204081632653061,33.47457627118644,11.03448275862069,42.758620689655174,0.326192643153527
579328,"Kikuchi, Yusei",2024,L,2923,117,42,1.6505279990389496,5.426773323258884,0.04728330729362,3.990787510176526,Starter,32,0,2923,740,27.7027027027027,5.9459459459459465,29.02542372881356,9.710743801652892,45.04132231404959,0.29832167989056085
641793,"Littell, Zack",2024,R,2467,139,42,-1.9370185211283912,6.145892588738636,-0.2355123966843619,4.638212079882249,Starter,29,0,2486,656,21.341463414634145,4.725609756097561,23.10077519379845,9.623430962343097,39.12133891213389,0.321021471669219
663554,"Mize, Casey",2024,R,1788,116,43,-1.6622942337749904,5.647905894440909,-0.075586783248992,4.15271992008518,Starter,20,2,1789,454,17.180616740088105,6.387665198237885,21.896162528216703,7.871720116618077,44.606413994169095,0.3337865991091314
668674,"Erceg, Lucas",2024,R,1045,118,43,-1.6075491385569785,6.02593859847332,0.1094974627502154,4.452289811853406,Reliever,0,61,947,251,28.68525896414343,5.577689243027888,31.042128603104214,6.289308176100629,33.33333333333333,0.27992026294820715
573186,"Stroman, Marcus",2024,R,2580,147,33,-1.9203263742824364,5.226214485023463,-0.1884817097445036,4.121374270440386,Starter,29,1,2667,677,16.54357459379616,8.862629246676514,20.239111870196414,6.693711967545639,39.95943204868154,0.3401739850523169
682243,"Miller, Bryce",2024,R,2749,136,43,-1.5842593208678202,5.567888833810526,0.1661017831472016,3.931086294092358,Starter,31,0,2749,706,24.07932011331445,6.232294617563739,24.25595238095238,9.690721649484537,41.23711340206185,0.2988647714285714
641540,"Dunning, Dane",2024,R,1689,140,38,-1.8942707644314127,5.411309623700828,-0.0661227438421409,3.968746011414954,Reliever,15,11,1689,420,21.666666666666668,9.285714285714286,23.697916666666664,10.915492957746478,45.774647887323944,0.35032205000000005
668933,"Ashcraft, Graham",2024,R,1342,113,49,-1.45409179949284,6.296629317248523,0.1118762346220157,4.494224667601764,Starter,15,0,1342,350,16.0,7.7142857142857135,21.936459909228443,7.6923076923076925,42.69230769230769,0.34657835446685875
624133,"Suárez, Ranger",2024,L,2362,143,42,1.7003044378190777,5.844747169217493,-0.001811360730883,4.31495849887026,Starter,27,0,2354,626,23.003194888178914,6.3897763578274756,21.743036837376458,5.0691244239631335,34.331797235023046,0.2968255663430421
668678,"Gallen, Zac",2024,R,2506,109,41,-1.4924126025437463,5.859176130465737,0.1081319625768034,4.456933896829423,Starter,28,0,2506,623,24.879614767255216,8.667736757624397,26.01626016260163,7.371007371007371,41.03194103194103,0.30773243478260864
663559,"Falter, Bailey",2024,L,2138,134,56,0.8690682135897617,5.781541740669214,-0.3274092321442565,4.007623373336066,Starter,28,0,2138,591,16.412859560067684,7.614213197969544,19.565217391304348,8.98876404494382,41.34831460674157,0.33596533620689656
808967,"Yamamoto, Yoshinobu",2024,R,1617,119,46,-1.367811140222671,5.502706980320171,0.0296747097185981,4.068991369936406,Starter,18,0,1426,360,28.61111111111111,5.833333333333333,27.02312138728324,8.085106382978724,40.42553191489361,0.28475280392156865
570632,"Ureña, José",2024,R,1759,140,31,-2.228274243985928,5.668725980447127,-0.19093867124916,4.428450890556235,Reliever,9,24,1760,462,14.935064935064934,8.008658008658008,23.067632850241544,7.7142857142857135,39.714285714285715,0.3235089651416122
