pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,xwoba
669952,"White, Mitch",2022,R,1715,141,45,-1.6038070546950858,6.09757623898324,0.046238844784667,4.461463814616759,Starter,18,7,1715,442,17.647058823529413,7.918552036199094,18.870192307692307,5.555555555555555,33.95061728395062,0.31494903881278535
579328,"Kikuchi, Yusei",2022,L,1843,141,42,1.669466193507274,5.492280744159988,0.0816391879762806,4.079665284358705,Starter,20,12,1843,456,26.973684210526315,12.5,30.97142857142857,14.82889733840304,47.90874524714829,0.3604385
573186,"Stroman, Marcus",2022,R,2133,112,32,-1.7887934927372873,5.24469701605902,-0.0586039812370416,4.151471723815469,Starter,25,0,2181,571,20.665499124343256,6.304728546409807,22.400000000000002,6.585365853658537,40.731707317073166,0.30800464084507045
663556,"McClanahan, Shane",2022,L,2548,139,39,1.7055875988236566,6.164818081495589,0.0546663563327428,4.827022355410702,Starter,28,0,2463,644,30.124223602484474,5.590062111801243,34.26229508196722,6.419753086419753,32.592592592592595,0.26103682861635225
668676,"Plesac, Zach",2022,R,2161,114,51,-1.3349032568269197,6.213070700974528,0.0924599321879272,4.4531683984687245,Starter,24,1,2153,569,17.57469244288225,6.6783831282952555,22.00180342651037,9.647058823529411,41.411764705882355,0.35085773721340385
641540,"Dunning, Dane",2022,R,2469,140,33,-2.108293444170123,5.469599885801206,-0.1581313381834933,4.219198740965518,Starter,29,0,2548,674,20.326409495548962,9.198813056379821,24.40318302387268,8.91304347826087,38.04347826086957,0.3267618970149254
668933,"Ashcraft, Graham",2022,R,1654,113,48,-1.3911017588820611,6.194300791877727,0.1695093217544245,4.468858719584348,Starter,19,0,1756,463,15.334773218142548,6.263498920086392,18.569780853517877,4.788732394366197,36.33802816901409,0.3104161904761905
624133,"Suárez, Ranger",2022,L,2807,143,37,1.827315538870023,5.845640453344206,0.0166735763405339,4.484070974683229,Starter,29,0,2564,664,19.427710843373493,8.734939759036145,21.336760925449873,6.765327695560254,34.883720930232556,0.3021795083969466
668678,"Gallen, Zac",2022,R,2935,109,44,-1.3741349899188346,5.901697698577456,0.1063327978755385,4.492227408892007,Starter,31,0,2935,716,26.675977653631282,6.564245810055866,23.005032350826742,7.775377969762419,36.06911447084234,0.2780470182328191
663559,"Falter, Bailey",2022,L,1319,143,57,0.8977293647031934,5.725273941762926,-0.2386772511044533,3.9470314728248455,Starter,16,4,1295,350,21.142857142857142,4.857142857142857,23.809523809523807,8.333333333333332,38.492063492063494,0.330965204610951
605447,"Romano, Jordan",2022,R,1016,141,47,-1.4580469255579966,5.9804886267255455,0.1127852526246719,4.28087305763752,Reliever,0,63,989,254,28.74015748031496,6.692913385826772,30.30888030888031,6.918238993710692,45.911949685534594,0.2839183266932271
666120,"Anderson, Ian",2022,R,1998,144,60,-0.8441014357870167,6.242033710812553,0.2501101203253162,4.353474531751001,Starter,22,0,2005,494,19.63562753036437,10.931174089068826,28.404255319148934,6.158357771260997,40.469208211143695,0.32311461178861794
