"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
127909,999999,"League",2021,709852,18,0.255,0.177,0.297,0.432,0.323,0.327,0.255,7626,29877,88,12.1,2163,87.2,87.19,15134,61395,66514,0,6.26,108,153,117,147,300,322,293,"-151.1","151.1",,,33008,22996,4829,1503,108,1186,7198,21.8,2497,7.6,2.32999,0.71128,0.44109,-0.30425,"91.8",156,38.7328230996695,8.531918594538181,5.944013572467281,5.97,1.95,-0.01,2.28,0.318,1962,"0.118137113",0.318,0.432,"-0.118137113",0,0,0,-0.004,24.7,"43.3"
118274,999999,"League",2022,708540,16.7,0.25,0.16,0.296,0.41,0.317,0.314,0.246,6916,27672,88.2,12.4,2171,87.7,87.66,14160,57333,60941,0,6.31,108,153,117,148,300,322,293,"-169.7","169.7",,,30540,21251,4448,1426,125,917,6655,21.8,2320,7.6,2.34709,0.66718,0.4183,-0.29817,"91.7",154,38.431132652581056,7.759634840713378,5.399476096922069,5.91,1.85,-0.01,2.33,0.313,1649,"0.14351844",0.311,0.4,"-0.14351844",0.004,0.0020000000000000018,0.01,0.003,24.7,"39.9"
112278,999999,"League",2023,717945,15.6,0.26,0.178,0.304,0.438,0.329,0.331,0.259,6774,26059,88.7,13.2,2178,87.6,87.81,13438,53817,58459,0.20000000000000284,6.41,109,150,118,147,301,324,294,"-200","200",,,28906,20052,4240,1433,103,998,6254,21.6,2322,8,2.3767,0.63995,0.39894,-0.29431,"91.8",157,39.36764412527429,8.627568322361858,5.9849166263059566,5.9,1.83,-0.02,2.3,0.325,1730,"0.178153334",0.325,0.436,"-0.178153334",0.001,0,0.002,-0.002,25,"41.5"
111901,999999,"League",2024,709510,15.8,0.251,0.16,0.298,0.41,0.315,0.315,0.248,6547,26127,88.4,13.2,2177,87.9,88.18,13680,54228,57667,0.29999999999999716,6.48,109,150,118,148,301,324,293,"-79.6","79.6","69.8","7.2",28832,19962,4229,1340,101,877,6405,22.2,2172,7.5,2.35035,0.64678,0.46666,-0.32693,"91.8",158,39.27462178138463,8.055305079651337,5.577136514983351,5.84,1.96,0.02,2.33,0.313,1608,"0.071128944",0.312,0.405,"-0.071128944",0.003,0.0010000000000000009,0.005,0,25.2,"40.4"
40410,999999,"League",2020,263584,15.3,0.255,0.179,0.296,0.434,0.325,0.327,0.254,2352,9227,87.7,12.4,2201,86.6,86.64,4695,18739,21670,0,6.32,107,152,117,147,300,323,293,"-54.3","54.3",,,10237,7089,1469,479,35,369,2218,21.7,818,8,2.39529,0.6924,0.43472,-0.29385,"91.8",155,37.071519255184086,7.589222739455495,5.255445931425222,5.93,2,0,2.26,0.321,538,"0.134258847",0.322,0.429,"-0.134258847",0.001,-0.0010000000000000009,0.005,-0.002,25.1,"42.3"
