"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
82398,999999,"League",2021,709852,11.6,0.239,0.147,0.295,0.386,0.308,0.306,0.231,4384,18380,87.3,10.7,2214,88.9,88.83,10337,38598,43800,-0.10000000000000853,6.25,109,153,118,148,298,322,295,"61.7","-61.7",,,20876,13582,2908,830,65,581,5058,24.2,1971,9.4,2.24676,0.6833,0.40835,-0.17896,"91.5",151,37.10793697540863,6.729494919746723,4.37823337804177,5.81,2.04,-0.06,2.27,0.318,914,"-0.074857399",0.314,0.374,"0.074857399",0.008,0.0040000000000000036,0.012,0.002,26.8,"39.7"
78489,999999,"League",2024,709510,11.1,0.238,0.141,0.289,0.379,0.302,0.303,0.234,4254,17891,87.4,11.3,2243,88.7,88.69,9628,37396,41093,0,6.32,110,149,117,148,297,322,295,"94.6","-94.6","69.0","7.2",20073,13475,2869,780,72,533,4675,23.3,1670,8.3,2.36261,0.59072,0.36719,-0.15626,"91.5",151,37.298701298701296,7.042671614100185,4.727743735365914,5.73,2.09,-0.05,2.3,0.309,949,"-0.120555747",0.307,0.373,"0.120555747",0.004,0.0020000000000000018,0.006,-0.001,25.7,"36.4"
77120,999999,"League",2023,717945,10.7,0.245,0.145,0.304,0.39,0.309,0.304,0.238,4301,17530,87.2,10.9,2225,88.4,88.54,9608,36517,40603,0.09999999999999432,6.39,110,149,117,148,297,322,295,"106","-106",,,19617,13046,2866,846,78,511,4699,24,1624,8.3,2.39032,0.57501,0.35816,-0.18064,"91.5",148,36.75456078491492,6.8986662578568145,4.587857470561247,5.68,2.11,-0.06,2.27,0.316,900,"-0.137405342",0.311,0.377,"0.137405342",0.007,0.0050000000000000044,0.013,0.005,26.3,"35.9"
75678,999999,"League",2022,708540,10.7,0.236,0.144,0.29,0.38,0.307,0.304,0.232,4010,16960,87.3,11.5,2229,88.6,88.52,9696,35856,39822,-0.09999999999999432,6.27,109,152,117,148,298,321,294,"-43.7","43.7",,,19143,12665,2635,815,61,499,4511,23.6,1697,8.9,2.3324,0.62597,0.37469,-0.19571,"91.4",151,36.399526253454404,7.011448874851954,4.6387713524525935,5.76,2.09,-0.07,2.27,0.313,888,"0.057753905",0.311,0.369,"-0.057753905",0.004,0.0020000000000000018,0.011,0.003,27,"36.1"
30601,999999,"League",2020,263584,11.6,0.232,0.162,0.284,0.395,0.312,0.313,0.23,1544,6650,87.2,11.5,2247,88.1,88.09,3834,14010,16591,0,6.23,109,152,117,148,297,322,295,"19.6","-19.6",,,7570,4826,979,299,17,249,1885,24.9,736,9.7,2.3434,0.6364,0.38712,-0.16682,"91.5",154,35.80605055946954,7.086614173228346,4.517833553500661,5.77,2.18,-0.08,2.24,0.318,342,"-0.064043659",0.317,0.389,"0.064043659",0.002,0.0010000000000000009,0.006,-0.001,27.4,"37.5"
