"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
669211,"Akin, Keegan",2022,"L",1235,110,42,1.6192213888608562,5.96948425260249,-0.020659728723289097,4.490567541766796
669467,"Pallante, Andre",2022,"R",1768,138,50,-1.7377145544813546,5.810937274770052,-0.3440645168917011,4.122844673881481
607259,"Martinez, Nick",2022,"R",1869,135,53,-1.0927404489399548,6.042101660774325,0.22191460254513795,4.3020540380196985
502043,"Gibson, Kyle",2022,"R",2780,143,42,-1.8373432997767754,6.260335667707962,-0.07757523567242466,4.703332038433426
656412,"Faedo, Alex",2022,"R",967,116,45,-1.8677394752873406,6.502159675912177,-0.13321239209418842,4.776234701200216
669212,"Morgan, Eli",2022,"R",1056,114,44,-1.0512424761749026,5.80605867648746,0.5111331514510078,4.312609806706773
608032,"Estévez, Carlos",2022,"R",1021,115,35,-1.8860995901146944,5.737157782920812,0.10133286098875488,4.324248143007535
596001,"Junis, Jakob",2022,"R",1802,137,29,-2.1447479085615497,5.8409381734275545,-0.18981858545961014,4.737529373284981
664353,"Urquidy, José",2022,"R",2684,117,53,-1.3695426219101923,6.290634823731524,-0.0795165383230923,4.590382441569637
543521,"McHugh, Collin",2022,"R",1131,144,24,-2.3291110819210634,5.3141155854264825,-0.22192899710161362,4.357084523342335
621345,"Minter, A.J.",2022,"L",1154,144,39,1.6513334746108574,5.644647182268896,0.030721894549532443,4.331022027930434
472610,"García, Luis",2022,"R",1034,135,43,-1.7703232536278923,6.088208343815766,-0.12786915755576012,4.550601101583588
605218,"Edwards Jr., Carl",2022,"R",998,120,52,-1.058993845060769,6.373806621195552,0.28341673793219235,4.65617483692876
614179,"Ruiz, José",2022,"R",1115,145,44,-1.615475442539991,6.20453893868025,0.05142978537684952,4.601050342837507
680739,"Winder, Josh",2022,"R",1114,142,53,-1.109633494664688,6.245399729606222,0.31202207386463654,4.325213761892876
493603,"Ottavino, Adam",2022,"R",1090,121,25,-2.7220180492591335,5.446205173469353,-0.5415761197239527,4.412885150697478
548389,"Stripling, Ross",2022,"R",2032,141,64,-0.889932110756275,6.973537202548151,0.11750820179270713,4.9181413819178355
593958,"Rodriguez, Eduardo",2022,"L",1467,116,34,2.1429823310570177,5.769275689988969,0.22912062371580608,4.475382849972115
571945,"Mikolas, Miles",2022,"R",3222,138,48,-1.7792663495058985,6.565356090157313,-0.12482600650496642,4.730670758770752
570666,"Cessa, Luis",2022,"R",1221,113,44,-1.2257557473143488,6.063167897539911,0.41501595197531016,4.450885465655251
605483,"Snell, Blake",2022,"L",2616,135,55,1.2137896583245271,6.575366879100215,-0.16933527623100947,4.622957505164987
500779,"Quintana, Jose",2022,"L",2797,138,44,1.6971292626357783,5.803723640940731,0.13137350137051604,4.265191632204608
572971,"Keuchel, Dallas",2022,"L",1164,140,44,1.6642126078814459,6.095296729691706,0.07950752215912912,4.5515045603089685
571948,"Milner, Hoby",2022,"L",1088,158,-1,2.8499311562036884,4.42193655846799,0.597448379747956,4.4787435521685275
666157,"Lodolo, Nick",2022,"L",1681,113,19,2.7299218331921553,5.45489045977864,0.4219751233509467,4.639659456693823
623149,"Sewald, Paul",2022,"R",1043,136,15,-2.527810142361876,4.48959170669501,-0.5502452525366462,3.965469828651412
660271,"Ohtani, Shohei",2022,"R",2629,108,39,-1.851968843581373,5.914559359122843,-0.11387433704281535,4.527583777135465
663855,"Hicks, Jordan",2022,"R",1075,138,35,-2.060903782850353,5.97605404910342,-0.22644340264477883,4.689285928201299
666159,"Manning, Matt",2022,"R",989,116,48,-1.4908055061737577,5.719560031739276,-0.09454376537635918,4.144778287814807
605488,"Springs, Jeffrey",2022,"L",2134,139,44,1.4805501285282943,6.0668355112733545,-0.09401318964494719,4.546989868557117
607536,"Freeland, Kyle",2022,"L",2837,115,25,2.302610267505271,5.610547990024171,0.23679098662504697,4.657104884964857
656945,"Scott, Tanner",2022,"L",1248,146,36,2.094245434095248,5.291478925851101,0.3136665171939988,4.018791191753507
641329,"Baker, Bryan",2022,"R",1181,110,57,-1.0047230590736296,6.5551053227764395,0.31352363732961425,4.5357783310768705
643377,"Jax, Griffin",2022,"R",1155,142,42,-1.4258150676086971,5.692528505239132,0.21571363011320233,4.219273683048977
621107,"Eflin, Zach",2022,"R",1331,143,31,-2.343540006809513,5.802516095554485,-0.2648311828453804,4.548004390102471
621363,"Poche, Colin",2022,"L",962,139,59,1.0542151179857133,6.2436188741597745,-0.0372850662983016,4.43446763427352
456501,"Cueto, Johnny",2022,"R",2372,145,33,-2.214653947552759,5.598430303348778,-0.2679669384049804,4.352832524731493
608566,"Márquez, Germán",2022,"R",2838,115,34,-1.976053583777218,5.954261569905136,-0.07889370191154188,4.6658505517493145
