"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
579328,"Kikuchi, Yusei",2020,"L",659,136,59,0.9480637146888389,5.843429493799508,-0.19181222393275146,3.97069425483685
663554,"Mize, Casey",2020,"R",537,116,32,-2.02933052993941,5.544206350698716,-0.1921159678636987,4.4138074565463565
592644,"Plutko, Adam",2020,"R",445,114,45,-1.491540963160428,6.034111886135246,0.13155896988795515,4.400432948692502
668676,"Plesac, Zach",2020,"R",686,114,49,-1.496688922846816,6.064520936457724,0.02436455523071939,4.340311893465645
641540,"Dunning, Dane",2020,"R",483,145,40,-1.8528398229132172,5.821324566895339,-0.05688843615838957,4.3116215871177195
461829,"Gonzalez, Gio",2020,"L",571,145,37,1.862773739445201,5.577725456586577,0.12283342712972786,4.264426958931321
668678,"Gallen, Zac",2020,"R",845,109,42,-1.4024251053283021,5.8444200337068635,0.1258167380511645,4.447450544821881
666120,"Anderson, Ian",2020,"R",721,144,66,-0.4280354988281375,6.1224420439860365,0.4860442140792899,4.0992038127293755
643338,"Green, Chad",2020,"R",429,147,48,-1.4069830961411833,6.11814265320035,0.12838501241405653,4.438811948188472
543243,"Gray, Sonny",2020,"R",762,113,50,-1.1500308021147485,5.678637869659989,0.25459814913990547,4.0058075691418
670990,"Ramírez, Yohan",2020,"R",403,136,28,-2.0888765026326825,5.107408038100133,-0.07990754653711248,4.018236903675861
521230,"Hendriks, Liam",2020,"R",409,133,49,-1.5311564762153331,6.048753914092539,-0.1070398484007962,4.388647133536678
593423,"Montas, Frankie",2020,"R",980,133,50,-1.3003906238200176,6.186695871894818,0.20017428942463772,4.409194085650317
668687,"Scrubb, Andre",2020,"R",451,117,59,-0.8361162599048202,6.475923567790254,0.38158140037636695,4.444071772336477
669456,"Bieber, Shane",2020,"R",1107,114,44,-1.3299615414169983,5.66185086126793,0.23198285603366342,4.157014677840381
605200,"Davies, Zach",2020,"R",1082,135,38,-1.775174597014186,5.49826633354481,-0.1287301672605692,4.212869262946202
622608,"Senzatela, Antonio",2020,"R",736,115,41,-1.894424449743669,5.909826122417107,-0.11143834612040843,4.381621647523142
615698,"Quantrill, Cal",2020,"R",451,114,50,-1.186914697467213,6.546539348804849,0.3535191321721191,4.713388115141243
571666,"Fiers, Mike",2020,"R",507,133,44,-1.5005229423966309,6.252219226491269,0.15015367150195202,4.6695873946415585
669203,"Burnes, Corbin",2020,"R",906,158,39,-1.7255860751965701,5.914013555444271,0.03563994537238939,4.4989453909101496
543507,"May, Trevor",2020,"R",362,142,44,-1.3982678646440132,5.764475734100664,0.26691201583596774,4.134046002599935
665620,"García, Deivi",2020,"R",461,147,46,-1.3467214113924741,5.406809126830844,0.13950964286406253,3.880268526602341
520980,"Báez, Pedro",2020,"R",360,119,59,-0.8262850141548456,6.489289177979491,0.3860794883423697,4.474387020031814
594965,"Ponce de Leon, Daniel",2020,"R",668,138,48,-1.5114386395970256,6.626800329307587,0.09356764052967403,4.843697577775119
665621,"García, Rony",2020,"R",368,116,16,-2.5985754760933,5.11549076361711,-0.22074962896225686,4.436400603057431
592662,"Ray, Robbie",2020,"L",934,141,44,1.5579259682205167,6.103940550919134,-0.05462854058376806,4.547711009099456
571670,"Floro, Dylan",2020,"R",427,119,37,-2.016330355580746,5.963905644533946,-0.23953515715078874,4.625546117129415
641302,"Alexander, Tyler",2020,"L",539,116,35,1.97519988002454,5.706801502673546,0.12603669019585403,4.4153646006159235
571927,"Matz, Steven",2020,"L",543,121,35,1.9136549084915293,5.647630840582928,-0.01835085449883953,4.275168736109878
641816,"Mahle, Tyler",2020,"R",783,113,37,-1.9931342262599365,5.601611823300232,-0.2291519137442797,4.28179016071197
669211,"Akin, Keegan",2020,"L",366,110,42,1.7765509616329234,5.744380968845921,0.13260924572387328,4.287949651164488
