"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
502043,"Gibson, Kyle",2023,"R",3060,110,44,-1.684587981196856,6.258758220610245,0.011184270735031978,4.631626240927147
572955,"Johnson, Pierce",2023,"R",1131,144,40,-1.864218949547714,6.0515115342901895,-0.12815267316636514,4.5833486027382575
656412,"Faedo, Alex",2023,"R",1033,116,32,-2.429774375504549,6.097555589491297,-0.3330910502439116,4.807909416095924
669212,"Morgan, Eli",2023,"R",1186,114,50,-1.0537502951921334,5.678167680715171,0.3966127078993488,3.9765782105100205
666142,"Ragans, Cole",2023,"L",1572,118,43,1.8390378064653619,6.2600889250881036,0.07843899508103032,4.619613994797548
543518,"McGough, Scott",2023,"R",1187,109,46,-1.4252048348106015,6.004281178176044,0.03895939222744312,4.472857090404516
608032,"Estévez, Carlos",2023,"R",1127,108,40,-1.6969875866719848,5.7756485060019225,0.19753064799042147,4.205353073877774
548384,"Raley, Brooks",2023,"L",982,121,33,2.1750912254246777,5.589773341988972,0.22987341087888588,4.324760495696147
596001,"Junis, Jakob",2023,"R",1332,137,31,-2.1926631020515566,5.818657726222155,-0.21971261823320654,4.623065659108303
664353,"Urquidy, José",2023,"R",1251,117,52,-1.4353210719571385,6.103932213856676,-0.11541099341560615,4.3902416882180555
543521,"McHugh, Collin",2023,"R",1017,144,25,-2.391817347915282,5.311986658170852,-0.2500537420009572,4.319412095271648
621345,"Minter, A.J.",2023,"L",1081,144,42,1.6788759949920513,5.776404838687279,0.12165957422074027,4.363040405084743
472610,"García, Luis",2023,"R",963,135,46,-1.6621320244372724,6.173373334860913,-0.06801487321446091,4.524111366644265
493603,"Ottavino, Adam",2023,"R",1024,121,23,-2.8403503867885083,5.318918802532944,-0.5902789110370715,4.371579378951512
660261,"Fujinami, Shintaro",2023,"R",1399,110,35,-1.9251922569577167,5.538738991032254,0.0803267585453832,4.116306876442174
